c_as,total_n,total_m,total_bw,b_n,b_m,b_bw
62991,4999.0,4999.0,16872.0,1849.0,1849.0,4403.0
262890,4998.0,4998.0,20517.0,1732.0,1732.0,5422.0
395539,4997.0,4997.0,17691.0,3961.0,3961.0,8848.0
14903,4998.0,4998.0,14668.0,4998.0,4998.0,6404.0
49509,4997.0,4997.0,20099.0,2113.0,2113.0,6579.0
29088,4998.0,4998.0,20007.0,2477.0,2477.0,6819.0
19954,4999.0,4999.0,16414.0,4999.0,4999.0,7394.0
57880,5000.0,5000.0,18525.0,2642.0,2642.0,6526.0
26417,4995.0,4995.0,14620.0,2233.0,2233.0,4509.0
47587,4998.0,4998.0,20247.0,1480.0,1480.0,4858.0
12590,4998.0,4998.0,18071.0,4987.0,4987.0,10654.0
200925,4997.0,4997.0,14587.0,1560.0,1560.0,3175.0
11452,4997.0,4997.0,13561.0,2603.0,2603.0,3854.0
266873,4998.0,4998.0,21629.0,4973.0,4973.0,13780.0
18569,4998.0,4998.0,16753.0,4998.0,4998.0,7856.0
206871,4998.0,4998.0,19667.0,1777.0,1777.0,5533.0
267464,4997.0,4997.0,19285.0,2063.0,2063.0,5777.0
34707,4999.0,4999.0,16250.0,1779.0,1779.0,4306.0
40410,4999.0,4999.0,15535.0,3853.0,3853.0,5606.0
267134,4999.0,4999.0,25397.0,1851.0,1851.0,6668.0
202946,4998.0,4998.0,14162.0,1836.0,1836.0,3784.0
48258,4998.0,4998.0,15121.0,2622.0,2622.0,4515.0
31864,4998.0,4998.0,13613.0,2647.0,2647.0,4041.0
199774,4998.0,4998.0,17159.0,2040.0,2040.0,4818.0
393365,5000.0,5000.0,27372.0,3779.0,3779.0,10454.0
44916,4997.0,4997.0,13345.0,1133.0,1133.0,2423.0
58009,4999.0,4999.0,23655.0,2070.0,2070.0,8340.0
205510,4996.0,4996.0,16713.0,3774.0,3774.0,7984.0
46733,4997.0,4997.0,29487.0,2902.0,2902.0,12238.0
34367,4998.0,4998.0,22247.0,1069.0,1069.0,5254.0
135606,4997.0,4997.0,19418.0,2515.0,2515.0,6466.0
204918,4998.0,4998.0,17171.0,4136.0,4136.0,8885.0
32974,4996.0,4996.0,15633.0,3748.0,3748.0,5621.0
264404,4997.0,4997.0,22451.0,1539.0,1539.0,5407.0
204960,4998.0,4998.0,23879.0,4098.0,4098.0,13586.0
41766,4997.0,4997.0,19316.0,3284.0,3284.0,7211.0
266115,5000.0,5000.0,22797.0,2162.0,2162.0,6952.0
26842,4997.0,4997.0,14470.0,3787.0,3787.0,4923.0
327839,4997.0,4997.0,20831.0,2075.0,2075.0,6602.0
47496,4997.0,4997.0,16644.0,3967.0,3967.0,8357.0
23767,4998.0,4998.0,18144.0,2793.0,2793.0,7127.0
32790,4998.0,4998.0,14616.0,4998.0,4998.0,6365.0
134433,4998.0,4998.0,21686.0,3728.0,3728.0,10366.0
43381,4995.0,4995.0,20863.0,3504.0,3504.0,9127.0
61639,4999.0,4999.0,21904.0,2653.0,2653.0,7599.0
29637,4997.0,4997.0,18579.0,2483.0,2483.0,6486.0
200829,4997.0,4997.0,19431.0,1525.0,1525.0,4736.0
20888,4996.0,4996.0,15727.0,3042.0,3042.0,6332.0
53756,4997.0,4997.0,16674.0,2606.0,2606.0,5601.0
59402,4996.0,4996.0,16789.0,2366.0,2366.0,5354.0
39743,4998.0,4998.0,16954.0,3189.0,3189.0,6880.0
23505,4998.0,4998.0,14454.0,4998.0,4998.0,6390.0
17858,4999.0,4999.0,18116.0,3284.0,3284.0,7777.0
60315,4999.0,4999.0,22272.0,2154.0,2154.0,6798.0
